object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,biased,fps,0,13.97086861928304,0.8618336617946625,0.24087712063143651,0.170635,0.6568825797798021,0.27089976512777486,0.2720724546881823,0.205825,0.8308109316492484,0.3299165209036299,0.25851,0.9521824177052478,0.40662462769451385,133192,0,10,76.9265398979187,1.190056324005127,,,0.0012941360473632812
bookcase,biased,fps,0,26.000069411595664,0.9584398021300634,0.05289166395862897,0.55222,0.7471245738556977,0.6350542273021619,0.10779777056917005,0.646275,0.9190689096294641,0.7589019332005861,0.756515,0.9972559101324541,0.8603621493492263,101647,1,15,79.64059901237488,1.4484727382659912,,,0.0017528533935546875
bookcase,biased,fps,0,33.610795402526854,0.9788094371557235,0.01927081337198615,0.82406,0.8300564466551166,0.8270473542703766,0.006366362140108413,0.944425,0.9876208573185045,0.9655400513811553,0.996655,1.0,0.9983246980575011,98464,2,20,80.80472207069397,1.3378620147705078,,,0.002204418182373047
bookcase,biased,fps,0,35.2255469640096,0.9824218879143397,0.016205230203922838,0.90221,0.9027217347566088,0.9024657948347128,0.005152399726372032,0.97354,0.9983904320125189,0.9858086323963147,0.995895,1.0,0.997943278579284,106572,3,25,81.92898654937744,1.2405059337615967,,,0.0018401145935058594
bookcase,biased,fps,0,35.94465888341268,0.9846885293722153,0.014838467255079498,0.889465,0.8935337841614039,0.8914947496197257,0.0052663395794307535,0.96932,0.9984574973453306,0.983673024650845,0.996155,1.0,0.9980737968744913,111099,4,30,81.84918689727783,,,,
bookcase,biased,fps,1,13.43563404083252,0.8545016874869664,0.27412968936065835,0.14685,0.6541496674677248,0.2398549776464322,0.2904617171286554,0.177705,0.8235399318169117,0.29233039575632114,0.221485,0.935483149835131,0.3581697308966708,133502,0,10,78.79469299316406,1.1507728099822998,,,0.003703594207763672
bookcase,biased,fps,1,25.212473011016847,0.9557880848646164,0.056520041264593604,0.58684,0.7985860392332197,0.6765315765582091,0.13601885875726533,0.668865,0.9596099033141452,0.788282922474241,0.76533,1.0,0.8670673471815467,105334,1,15,76.59343361854553,1.265838623046875,,,0.0028531551361083984
bookcase,biased,fps,1,33.014027150472,0.9772102296352386,0.020578387697848182,0.841975,0.8512043816017437,0.8465645365007203,0.006090360082571012,0.955375,0.9917956742860337,0.9732447235714984,0.99707,1.0,0.9985328506261674,99325,2,20,75.87662410736084,1.2675511837005615,,,0.0020525455474853516
bookcase,biased,fps,1,34.51270577112834,0.9808842231829961,0.01744569099973887,0.88348,0.889057173196222,0.8862598124913303,0.005500398891849527,0.96959,0.9954339685910691,0.9823420345332894,0.9966,1.0,0.9982971050786338,103528,3,25,81.36189460754395,1.4801745414733887,,,0.002226591110229492
bookcase,biased,fps,1,35.92742338180542,0.9844553182522456,0.014713715311760705,0.92572,0.9262169563516459,0.9259684114981711,0.004910801893436588,0.97894,0.9969429385793327,0.9878594538546517,0.996555,1.0,0.9982745278742634,110478,4,30,81.36909818649292,,,,
