object,init,strategy,seed,round,S1~bad,S1~psnr,S2~bad,S2~psnr,score~bad,score~psnr,IG~bad,IG~psnr
chair,biased,fps,0,1,-0.3172567378037224,-0.4576210151245215,-0.3096262461620106,-0.7963079489026195,-0.30543193965353854,-0.7041317614950154,,
chair,biased,fps,0,3,-0.4239968652037618,-0.4650738916256158,-0.5803761755485893,-0.46176444245409765,-0.5776690550828482,-0.5157635467980296,,
chair,biased,fps,0,2,-0.4857804253217692,-0.5711719497515355,-0.3656758953465642,-0.6109365515396565,-0.5352017037562887,-0.6764673806804737,,
chair,biased,fps,0,0,-0.1409133654380279,0.6479138509449891,0.2884847371482809,-0.8405140250276653,0.44444007050785783,-0.1384569626509555,,
chair,biased,fps,1,1,-0.21909897274553658,-0.6281263030211138,-0.3388442439634586,-0.8411186080891551,-0.2422103028694894,-0.7754577157802965,,
chair,biased,fps,1,3,-0.28840573219883564,-0.6782243618450515,-0.5350962830273176,-0.4996596506941335,-0.5027675772503358,-0.6796798029556651,,
chair,biased,fps,1,2,-0.3324547053921417,-0.7753757832031853,-0.5096350710412872,-0.594631521549019,-0.4670740866487648,-0.71770939432287,,
chair,biased,fps,1,0,-0.1504887874135601,0.6885494714097636,0.43498711875675233,-0.8137490322665303,0.4603297073399031,-0.04896796966237584,,
chair,biased,ours,0,1,-0.10690269512148896,0.418519009893484,-0.041408589515181386,-0.9085535044160571,0.1735832606800349,-0.2381884689738827,,
chair,biased,ours,0,3,-0.14991043439319302,-0.2117218987908643,-0.3754791759964174,-0.5236117330944917,-0.2808441558441559,-0.4106359158083296,,
chair,biased,ours,0,2,0.10057100527794068,0.04833482514892434,-0.28333384775250264,-0.7704126670576251,-0.12556354619998558,-0.44042923135487716,,
chair,biased,ours,0,0,-0.1718091039116115,0.6559653934137263,0.3183867172293736,-0.828737638161722,0.4347596740542456,-0.1220581996002222,,
chair,biased,ours,1,1,-0.1984136310223267,0.013070012509002693,-0.32443993783404723,-0.939960577688488,-0.10869375687047497,-0.5100185739736933,,
chair,biased,ours,1,3,-0.5700850873264667,-0.5335557545902374,-0.57461486789073,-0.6914285714285715,-0.6869682042095836,-0.7232713837886252,,
chair,biased,ours,1,2,-0.22585264977314112,-0.1030072944638209,-0.5023879337839645,-0.884992335154377,-0.4489233206786218,-0.6103933248968589,,
chair,biased,ours,1,0,-0.16129590993189782,0.6858813700918964,0.43093685347749827,-0.8476400425146637,0.4421201345422895,-0.079146382535746,,
chair,uniform,ig,0,1,0.12549372654561994,-0.6961487434138205,0.08220882557941563,0.051780662115099116,0.10660702778514841,-0.39596679428376486,0.07836982471458064,-0.0565354551200165
chair,uniform,ig,0,3,-0.12328481862964621,-0.6257501119570085,-0.6316256157635468,-0.1110680698611733,-0.44171965965069415,-0.4308240035826243,0.005608120934234759,0.09345860173227133
chair,uniform,ig,0,2,0.2070557733263372,-0.81656635492865,-0.026432914596129512,0.07848596150086937,0.1287097338395218,-0.46136609154603536,0.2766726254454846,-0.16961941730022528
chair,uniform,ig,0,0,-0.17970493423786343,-0.46018449264522565,0.006525038599990378,0.03526180197439498,-0.09094026514803588,-0.22877700359100198,0.17057204087695021,-0.06910959228834695
chair,uniform,ig,1,1,-0.2557844660930215,-0.5526439482961223,-0.28582313028315837,-0.042397937909859365,-0.34163981653462727,-0.3181854364883818,-0.06167036010845842,-0.1233265039052275
chair,uniform,ig,1,3,-0.18311016569637262,-0.720691894312584,-0.17200850873264667,-0.21017465293327361,-0.21035826242722794,-0.5311442006269592,-0.0275292825692048,0.043042223694756285
chair,uniform,ig,1,2,-0.12193174686461516,-0.7290657119046885,0.05499758222990421,-0.23367182114674323,0.014757657129335267,-0.4931715999465004,0.037885573912053744,-0.017455413668053987
chair,uniform,ig,1,0,0.02756017443259108,-0.23737616292039,-0.1527002497517791,-0.728738950342698,0.1132193485458848,-0.6806868830015703,0.0955404401182943,-0.5614224472667553
chair,uniform,random,0,1,-0.2437227550130776,-0.5369053485463023,-0.5908987528903378,0.10264773890299837,-0.5345551722830825,-0.26498426898146393,,
chair,uniform,random,0,3,-0.28818181818181815,-0.4170443349753695,-0.8266323331840574,-0.08248096730855352,-0.6813031795790416,-0.2910971786833856,,
chair,uniform,random,0,2,-0.3300060701461979,-0.540666893011101,-0.5551158986388468,-0.2673683344136136,-0.567632745866642,-0.4951840077368642,,
chair,uniform,random,0,0,-0.0630975344119461,-0.46866992962336035,0.14431978725172445,0.04197491984761205,0.04282871226932953,-0.2265305497600896,,
chair,uniform,random,1,1,0.10641181153102612,-0.5806243129525037,-0.3431844888366628,-0.40961487434138205,-0.07766384898222205,-0.5901368409082294,,
chair,uniform,random,1,3,-0.2687639946260636,-0.29355799373040753,-0.48074787281683834,-0.5296372592924318,-0.46825794894760414,-0.46746305418719214,,
chair,uniform,random,1,2,-0.28787308250254634,-0.5246334763418624,-0.6056051112688663,-0.5129150076648455,-0.5348889369013446,-0.6156548041606222,,
chair,uniform,random,1,0,0.027939832128313805,-0.20815651694681733,-0.26304592196022347,-0.7354310733202991,0.06105927996255911,-0.6658854815922879,,
chair,uniform,fps,0,1,-0.0649103521473788,-0.5691975285243168,-0.6011011712975247,-0.4620692922936962,-0.43450778969713055,-0.6159432925211327,,
chair,uniform,fps,0,3,-0.325371697268249,-0.568513210927004,-0.6761442006269593,-0.26521943573667717,-0.6270062695924765,-0.4779825347066726,,
chair,uniform,fps,0,2,-0.18397687171414753,-0.7326110888196138,-0.7386750619875099,-0.4066318919308209,-0.5889317571529986,-0.6835951726905151,,
chair,uniform,fps,0,0,-0.008746998386017401,-0.447349613125309,0.2561333525786543,0.10898187878072145,0.17423226478062523,-0.1767743967247963,,
chair,uniform,fps,1,1,-0.3121204654865244,-0.5660342670861606,-0.45228763124976307,-0.4435237481520792,-0.4196618778666465,-0.544482771691748,,
chair,uniform,fps,1,3,-0.32314375279892527,-0.47331840573219885,-0.36717196596506946,-0.375884460367219,-0.3526041200179132,-0.4777922077922078,,
chair,uniform,fps,1,2,-0.31211045608403554,-0.5094869183205243,-0.5513359465827135,-0.31295821887506814,-0.48880315236066957,-0.4501167731514347,,
chair,uniform,fps,1,0,0.0017574477205229483,-0.1828296745353786,-0.22738609175644173,-0.7413306389883961,0.057910045620158605,-0.6522825388077526,,
chair,uniform,ours,0,1,-0.37569841931693265,-0.5235529358250256,-0.38686365187066457,0.255653690155794,-0.49047420492020777,-0.14329252113263333,,
chair,uniform,ours,0,3,-0.16184281236005374,-0.15650246305418722,-0.08819301388266906,0.5558665472458576,-0.15961710703090015,0.23306986117330947,,
chair,uniform,ours,0,2,-0.13935821064436144,-0.38844820313384154,-0.5600934185211478,0.56309968414663,-0.4691091288825786,0.1210222537732646,,
chair,uniform,ours,0,0,-0.1762652705061082,-0.47197312653361156,0.10736352224365453,0.01150432801025251,-0.041114129127355924,-0.23576130553259242,,
chair,uniform,ours,1,1,-0.1077423145445586,-0.5778780182707252,-0.494956597551268,-0.04430461316856829,-0.41068003487358334,-0.3614703764072628,,
chair,uniform,ours,1,3,-0.22529556650246305,-0.22807657859382,-0.5726668159426781,0.39077698163905067,-0.56064039408867,0.07355351545006718,,
chair,uniform,ours,1,2,-0.3823327880490138,-0.42396164490673577,-0.6339640112349146,0.18156115929503996,-0.6522526415424345,-0.17326666460899,,
chair,uniform,ours,1,0,0.026970567780708322,-0.17990788489548482,-0.1313484409103037,-0.7575649420234707,0.13076758213159428,-0.6565147598490119,,
bookcase,biased,ig,0,1,0.2397805238618703,-0.7205052878965923,0.43729199044767064,-0.794225010424169,0.35420378302566247,-0.831596603616239,0.43746988161007616,-0.5465288795386793
bookcase,biased,ig,0,3,-0.36685176892073446,-0.7195432154052844,0.7787953425884461,0.38249664128974475,0.451551724137931,-0.4045364979847739,-0.3587862408890747,0.16949707288544782
bookcase,biased,ig,0,2,-0.35488955420434787,-0.7642355216724795,0.5774087677603218,0.4877578526086196,0.12724466804531004,-0.3770404436350916,-0.3369759132430439,-0.4711832730779618
bookcase,biased,ig,0,0,-0.08909446390846226,0.7311936035551357,0.22640807953566294,-0.7184409540430484,0.34160182305676934,-0.08338735145017868,-0.2953303354335173,-0.6341035408380771
bookcase,biased,ig,1,1,-0.1108998900724006,-0.7936658959099352,0.05002842955157121,-0.27510708464425154,-0.042792161024980103,-0.7790777453470301,0.018164224900681758,-0.661844610377309
bookcase,biased,ig,1,3,-0.41521271831616663,-0.6148656515897896,0.5386094939543216,0.08124496193461711,0.046793551276309894,-0.4399171518137035,-0.20855985317443598,0.1317696444277508
bookcase,biased,ig,1,2,-0.5010236941469386,-0.6992561498811691,0.5678241097976274,0.5132853894667531,-0.03554636459973044,-0.25509223535705833,-0.14876823582531135,0.0037321312520440975
bookcase,biased,ig,1,0,-0.2170041158743281,0.5442288093707217,0.43661247359235794,-0.8400486381748439,0.37830614931744727,-0.29695967667860756,-0.30029974600542003,-0.5096066998240852
bookcase,biased,random,0,1,-0.23556915962245556,-0.44757211629581894,0.07555248095220045,-0.9059493574921346,0.027572874417194193,-0.8794511201243319,,
bookcase,biased,random,0,3,-0.014142409314823108,-0.5059493954321541,0.3632086878638603,0.22722122704881326,0.2052843708016122,-0.3231728616211375,,
bookcase,biased,random,0,2,-0.13778614566293199,-0.604175025978168,0.10322952354496538,-0.6886159037830386,0.005954916304001153,-0.8184264946448965,,
bookcase,biased,random,0,0,-0.08577202167722973,0.7413218911152226,0.21586339321252523,-0.7147703464595171,0.3448927729445779,-0.07024454679456058,,
bookcase,biased,random,1,1,-0.10069178575489936,-0.29807247640347223,0.1948371934346689,-0.8796671847162731,0.16582767901140974,-0.7406826882983966,,
bookcase,biased,random,1,3,-0.11135244066278549,-0.6821742051052395,0.3703739364084192,0.16715181370353782,0.10617107030900136,-0.5678481862964622,,
bookcase,biased,random,1,2,-0.10416782410979762,-0.6848338940502279,0.37819274257435925,-0.32842783213473664,0.1344280173256376,-0.7002520653929648,,
bookcase,biased,random,1,0,-0.22082343730180604,0.5368491035616967,0.4526613217161578,-0.8483941091822053,0.3904009587668999,-0.30664007313221975,,
bookcase,biased,fps,0,1,-0.32965960350252077,-0.6599105416777227,-0.06210340775558168,-0.6460824077934877,-0.15381335051741785,-0.8622777756718852,,
bookcase,biased,fps,0,3,-0.43087102552619794,-0.4203896103896104,0.2439834303627407,0.22055978504254367,-0.22171294223018362,-0.2721137483206449,,
bookcase,biased,fps,0,2,-0.6688724960646933,-0.6957025422595348,0.577371729580131,0.6416206261510129,-0.15416936736730558,-0.08971264545202012,,
bookcase,biased,fps,0,0,-0.08424639259580016,0.7271730810446712,0.2422574761511108,-0.7249528708332788,0.37684175534823094,-0.07986195856132479,,
bookcase,biased,fps,1,1,-0.26840339638376104,-0.6999507221106099,-0.06714301959743756,-0.7261134907698723,-0.09759106933019977,-0.8815738599749822,,
bookcase,biased,fps,1,3,-0.23019480519480523,-0.5701679355127631,0.4633922973578146,0.558266905508285,0.1140304523063144,-0.055586654724585766,,
bookcase,biased,fps,1,2,-0.421224934925975,-0.5494037881827628,0.6228731339444632,0.607436443511631,0.16139181250450116,0.042291428747800855,,
bookcase,biased,fps,1,0,-0.21278064270624208,0.5457159478101887,0.4441006530287325,-0.8494700975825253,0.3879830466217901,-0.3000494254834294,,
bookcase,biased,ours,0,1,-0.034011220196353435,0.5534835677191918,0.12357757476972063,-0.8138698305598726,0.3813350517417839,-0.33463667033092004,,
bookcase,biased,ours,0,3,0.07339677563815494,-0.15866771159874613,-0.06496641289744738,-0.7225055978504255,0.1533676668159427,-0.7499753694581281,,
bookcase,biased,ours,0,2,0.08604998096649073,0.3417307118532465,0.09253166249987138,-0.8535880737059787,0.25065794211755504,-0.5938722388551086,,
bookcase,biased,ours,0,0,-0.0868480100775499,0.726191569674623,0.21829705152934697,-0.7069287529469399,0.35593433846396105,-0.0751241104506467,,
bookcase,biased,ours,1,1,0.06609302149274099,-0.07476213941852092,0.06756756756756757,-0.7158428414389144,0.26431712217125963,-0.6150354421742921,,
bookcase,biased,ours,1,3,0.1916166592028661,-0.5199843260188087,-0.3244626063591581,0.2635199283475146,-0.04155396327810121,-0.2970443349753695,,
bookcase,biased,ours,1,2,0.029235470230562673,-0.32100579235984644,0.15042233813800837,-0.5355906046482917,0.12836198648106423,-0.5556899904318034,,
bookcase,biased,ours,1,0,-0.20828598546978266,0.5468059328075863,0.4334055032870134,-0.8501436838168721,0.38817724940623816,-0.3003835942386508,,
bookcase,uniform,ig,0,1,-0.4907243849740344,-0.29171941927902656,0.19390849475000946,-0.3098176718092567,-0.15459611083734506,-0.5223437322315303,-0.112381878691038,0.020595426096030187
bookcase,uniform,ig,0,3,-0.7405038065382893,-0.26411330049261084,0.5154052843708016,0.20889610389610389,-0.2462830273175101,-0.15152485445588895,0.28499401926627793,0.2006462366494812
bookcase,uniform,ig,0,2,-0.6638970338590697,-0.3363437143121701,0.36233834377604246,0.06887455374137062,-0.23551344177289424,-0.3528030700536025,0.07963578688490244,-0.05831159061090544
bookcase,uniform,ig,0,0,-0.5398671198064972,-0.23831393492457145,-0.09857365927908779,-0.3715282971827475,-0.33943060093514765,-0.3799559981979382,0.45670303387106903,-0.5250900343034174
bookcase,uniform,ig,1,1,-0.2144744323566203,-0.2651832758424624,0.33424623782267543,0.041071225503203065,0.027834426291649294,-0.20631136044880785,-0.17029968020601674,-0.04161266868916009
bookcase,uniform,ig,1,3,-0.210141065830721,-0.6078638602776534,0.5239117778772951,0.317384684281236,0.3652597402597403,-0.4160031347962383,-0.12688086197557322,0.28577598685457223
bookcase,uniform,ig,1,2,-0.2052388448203134,-0.47010710207105155,0.5847896540016667,0.25607168945543585,0.31261047151661064,-0.22018786588063413,-0.04223497622861049,0.15655189454566748
bookcase,uniform,ig,1,0,-0.18954454198323037,-0.28952748363054237,0.36392114667121556,-0.8903576567946919,0.20714876195724916,-0.7795256028378101,0.2284700777711182,-0.6361253750727879
bookcase,uniform,random,0,1,-0.5069822978658883,-0.09824305371289944,-0.2729445434214018,-0.17689056517948523,-0.426674500587544,-0.18128956445926994,,
bookcase,uniform,random,0,3,-0.4589274518584864,-0.22708463949843266,0.12019256605463502,-0.11130541871921183,-0.17915584415584418,-0.27388042991491274,,
bookcase,uniform,random,0,2,-0.15531549327654146,-0.2927147957241479,0.5623589205428151,-0.06579626943218413,0.2567219152854512,-0.33722645760671627,,
bookcase,uniform,random,0,0,-0.5204958294514647,-0.22571349840570012,-0.09135666391108663,-0.339308130710721,-0.33736085414233674,-0.3621068377750659,,
bookcase,uniform,random,1,1,-0.08287403813350518,-0.6478241916530837,0.16233842538190366,-0.8217410257382208,0.08518630832796331,-0.8179921155376977,,
bookcase,uniform,random,1,3,0.16116883116883118,-0.7977115987460816,0.02310344827586207,-0.5908284818629647,0.13212494402149574,-0.8512046574115542,,
bookcase,uniform,random,1,2,0.08214245295636696,-0.766274679259648,0.25861497782853377,-0.7822545963352778,0.16642077430373367,-0.8400609072296469,,
